trial,origin,T_max,T_min,score,worst_step_kPa,burst_hz,ramp_mse,duration_s,p_start_meas,samples
1,random,173.76195433750541,54.28080423874833,9.82016355666667,1.5566666666666673,10.039370078740157,37.192335956371906,5.08,28.35,255
2,random,48.604440026600884,31.487487197567617,3.335835504445912,1.7733333333333334,23.78640776699029,22.570612519623225,2.06,28.46,104
3,random,210.78675023205722,112.14800195499495,32.212780890000005,1.5566666666666673,7.033248081841432,48.92976540472275,7.82,28.35,392
4,random,167.3935129111078,95.65469048855985,18.981308890000008,1.5933333333333337,8.125,36.38104065051013,6.4,28.57,321
5,random,154.16124820773882,114.15651814089914,25.05709289,1.4833333333333332,7.563025210084034,33.88898688792061,7.14,28.24,358
6,random,211.32924636552175,30.24646501531333,8.107550223333337,1.486666666666667,11.506276150627615,52.165336455588786,4.78,28.35,240
7,BO,93.9398562887585,30.02964508445794,2.8272635566666695,1.5200000000000007,17.857142857142858,3.435957061802605,3.08,28.35,155
8,BO,77.86160635572293,46.96952322954644,3.381499556666669,1.413333333333334,16.10169491525424,3.7486300152103995,3.54,28.24,178
9,BO,143.92257217750551,30.079258019222856,4.963730223333336,1.413333333333334,14.215686274509803,23.97324293678447,4.08,28.46,205
10,BO,74.54459059928178,74.01952132469336,11.084446223333336,1.486666666666667,11.235955056179776,9.208544788917472,5.34,28.57,268
11,BO,71.85621720849086,35.60808461079381,3.0036875566666703,1.4833333333333343,18.322981366459626,2.72605552599435,3.22,28.35,162
12,BO,110.27215097125628,42.75310450048495,8.130347556666665,1.4466666666666654,13.692946058091286,13.281354189497359,4.82,28.68,242
13,BO,49.38504481509525,47.93670913916065,4.109083556666667,1.4466666666666665,16.666666666666668,4.644628373123362,3.78,28.57,190
14,BO,249.32393874986548,55.63341346257621,45.452939556666664,1.4866666666666657,7.718120805369128,47.55031244391653,8.94,28.24,448
15,BO,175.29255457170845,30.3594664897145,11.198708889999999,2.0633333333333326,12.857142857142856,38.8575097061081,4.9,28.24,246
16,BO,135.28449454791638,67.26457082471231,5.115031556666667,1.4833333333333334,11.330049261083746,30.488224668430014,4.06,28.02,204
17,BO,67.70199060145154,30.046114709790977,2.76433502686398,1.629999999999999,20.87378640776699,8.397553879288758,2.06,28.24,104
18,BO,121.17326815966749,30.025850911123467,3.211611556666667,1.6666666666666667,15.384615384615385,8.026802444122216,2.86,28.68,144
19,BO,61.06058393312897,41.57556331668292,3.0749666666666666,1.7033333333333331,18.64406779661017,8.16330834970191,2.36,28.57,119
20,BO,80.74220197783687,30.099055093760594,2.614000000000001,1.5933333333333337,19.1304347826087,2.672043775588526,2.3,28.57,116
21,BO,123.2143675718219,81.85973340801735,7.785070223333337,1.736666666666667,10.937499999999998,18.653126344971113,4.48,28.89,225
22,BO,69.03709792373886,54.556126407166964,3.021643556666668,1.6300000000000001,15.277777777777779,2.8212017874736106,2.88,28.46,145
23,BO,95.29759677158036,59.99345041581697,3.4194795566666647,1.556666666666666,12.87425149700599,6.239026607813685,3.34,28.24,168
24,BO,82.32469334957099,56.01493677477487,3.102731556666668,1.5933333333333337,14.052287581699346,3.4918270076861937,3.06,28.46,154
25,BO,112.377170746921,68.47738889292769,5.126107556666668,1.6300000000000001,11.224489795918368,14.79427296177355,3.92,28.46,197
26,BO,67.806413754467,48.83113719324304,2.9613195566666675,1.6300000000000001,16.423357664233574,3.0339265441990175,2.74,28.57,138
27,BO,127.57866995774793,57.31733051038768,4.917675556666671,1.5600000000000012,11.538461538461538,18.709357007496877,3.9,28.46,196
28,BO,40.07034849099369,38.06561138792303,2.5670160493827137,1.556666666666666,22.22222222222222,15.023789836455242,1.98,26.29,100
29,BO,49.14760533527571,37.145931743271255,2.242840939836245,1.4866666666666681,21.22641509433962,13.212617375548344,2.12,28.46,107
30,BO,99.41038148045637,99.27349028138191,8.642715556666667,1.5966666666666665,9.583333333333334,18.413053060536356,4.8,28.57,241
