"# deflation 150/60; RESULT,DEFLATE,3271,1.93"
time_s,target_kPa,actual_kPa
14.120,30.00,24.63
14.140,30.00,24.63
14.160,30.00,24.63
14.180,30.00,24.63
14.200,30.00,24.63
14.220,30.00,24.52
14.240,30.00,24.52
14.260,30.00,24.52
14.280,30.00,24.52
14.300,30.00,24.52
14.320,30.00,24.52
14.340,30.00,24.52
14.360,30.00,24.42
14.380,30.00,24.42
14.400,30.00,24.42
14.420,30.00,24.42
14.440,30.00,24.42
14.460,30.00,24.42
14.480,30.00,24.31
14.500,30.00,24.31
14.520,30.00,24.42
14.540,30.00,24.42
14.560,30.00,24.31
14.580,30.00,24.42
14.600,30.00,24.31
14.620,30.00,24.31
14.640,30.00,24.31
14.660,30.00,24.31
14.680,30.00,24.31
14.700,30.00,24.31
14.720,30.00,24.31
14.740,30.00,24.31
14.760,30.00,24.31
14.780,30.00,24.20
14.800,30.00,24.20
14.820,30.00,24.31
14.840,30.00,24.20
14.860,30.00,24.20
14.880,30.00,20.61
14.900,30.00,23.11
14.920,30.00,23.44
14.940,30.00,23.44
14.960,30.00,23.44
14.980,30.00,18.12
15.000,30.00,21.38
15.020,30.00,22.57
15.040,30.00,22.68
15.060,30.00,22.79
15.080,30.00,22.79
15.100,30.00,18.77
15.120,30.00,21.92
15.140,30.00,22.24
15.160,30.00,22.35
15.180,30.00,22.35
15.200,30.00,22.35
15.220,30.00,18.12
15.240,30.00,21.27
15.260,30.00,21.59
15.280,30.00,21.81
15.300,30.00,21.81
15.320,30.00,14.21
15.340,30.00,20.07
15.360,30.00,21.16
15.380,30.00,21.27
15.400,30.00,21.27
15.420,30.00,16.81
15.440,30.00,17.36
15.460,30.00,20.07
15.480,30.00,20.51
15.500,30.00,20.61
15.520,30.00,12.47
15.540,30.00,18.33
15.560,30.00,19.85
15.580,30.00,20.07
15.600,30.00,20.18
15.620,30.00,20.18
15.640,30.00,17.14
15.660,30.00,19.31
15.680,30.00,19.64
15.700,30.00,19.75
15.720,30.00,19.75
15.740,30.00,15.73
15.760,30.00,18.77
15.780,30.00,19.09
15.800,30.00,19.20
15.820,30.00,19.20
15.840,30.00,15.40
15.860,30.00,18.33
15.880,30.00,18.77
15.900,30.00,18.77
15.920,30.00,18.88
15.940,30.00,14.10
15.960,30.00,17.25
15.980,30.00,18.23
16.000,30.00,18.33
16.020,30.00,18.44
16.040,30.00,11.49
16.060,30.00,16.92
16.080,30.00,17.68
16.100,30.00,17.90
16.120,30.00,17.90
16.140,30.00,11.93
16.160,30.00,16.60
16.180,30.00,17.36
16.200,30.00,17.46
16.220,30.00,17.46
16.240,30.00,13.23
16.260,30.00,16.38
16.280,30.00,16.81
16.300,30.00,16.92
16.320,30.00,17.03
16.340,30.00,13.99
16.360,30.00,16.05
16.380,30.00,16.38
16.400,30.00,16.49
16.420,30.00,10.62
16.440,30.00,14.42
16.460,30.00,15.73
16.480,30.00,15.94
16.500,30.00,16.05
16.520,30.00,9.64
16.540,30.00,14.75
16.560,30.00,15.40
16.580,30.00,15.51
16.600,30.00,15.51
16.620,30.00,12.69
16.640,30.00,14.64
16.660,30.00,14.97
16.680,30.00,15.08
16.700,30.00,11.06
16.720,30.00,13.55
16.740,30.00,14.42
16.760,30.00,14.53
16.780,30.00,14.53
16.800,30.00,11.82
16.820,30.00,13.77
16.840,30.00,13.99
16.860,30.00,13.99
16.880,30.00,8.02
16.900,30.00,12.90
16.920,30.00,13.34
16.940,30.00,13.45
16.960,30.00,8.34
16.980,30.00,11.71
17.000,30.00,12.79
17.020,30.00,12.90
17.040,30.00,13.01
17.060,30.00,10.08
17.080,30.00,12.14
17.100,30.00,12.36
17.120,30.00,12.47
17.140,30.00,8.88
17.160,30.00,11.60
17.180,30.00,11.93
17.200,30.00,11.93
17.220,30.00,6.50
17.240,30.00,10.84
17.260,30.00,11.38
17.280,30.00,11.49
17.300,30.00,8.23
17.320,30.00,10.30
17.340,30.00,10.84
17.360,30.00,10.95
17.380,30.00,7.80
17.400,30.00,9.75
17.420,30.00,10.30
17.440,30.00,10.41
17.460,30.00,7.47
17.480,30.00,9.32
17.500,30.00,9.86
17.520,30.00,9.97
17.540,30.00,6.71
17.560,30.00,8.88
17.580,30.00,9.43
17.600,30.00,9.43
17.620,30.00,5.52
17.640,30.00,8.67
17.660,30.00,8.88
17.680,30.00,8.99
17.700,30.00,6.50
17.720,30.00,8.23
17.740,30.00,8.56
17.760,30.00,8.56
17.780,30.00,6.82
17.800,30.00,8.02
17.820,30.00,8.02
17.840,30.00,3.02
17.860,30.00,7.04
17.880,30.00,7.58
17.900,30.00,7.69
17.920,30.00,4.97
17.940,30.00,7.04
17.960,30.00,7.26
17.980,30.00,7.26
18.000,30.00,5.84
18.020,30.00,6.71
18.040,30.00,6.82
18.060,30.00,3.56
18.080,30.00,6.17
18.100,30.00,6.39
18.120,30.00,6.50
18.220,0.00,1.39
18.320,0.00,1.06
18.420,0.00,0.85
