"# inflation to 40.0 kPa; RESULT,INFLATE,3887,38.51"
time_s,target_kPa,actual_kPa
11.240,40.00,30.26
11.260,40.00,31.78
11.280,40.00,30.69
11.300,40.00,30.69
11.320,40.00,32.10
11.340,40.00,31.02
11.360,40.00,31.02
11.380,40.00,32.43
11.400,40.00,31.34
11.420,40.00,31.23
11.440,40.00,32.86
11.460,40.00,31.78
11.480,40.00,31.67
11.500,40.00,33.08
11.520,40.00,32.00
11.540,40.00,32.00
11.560,40.00,33.52
11.580,40.00,32.32
11.600,40.00,32.32
11.620,40.00,33.73
11.640,40.00,32.65
11.660,40.00,32.86
11.680,40.00,33.95
11.700,40.00,32.97
11.720,40.00,33.30
11.740,40.00,34.17
11.760,40.00,33.30
11.780,40.00,33.73
11.800,40.00,34.38
11.820,40.00,33.62
11.840,40.00,33.95
11.860,40.00,34.82
11.880,40.00,33.95
11.900,40.00,34.60
11.920,40.00,34.71
11.940,40.00,34.38
11.960,40.00,35.04
11.980,40.00,34.49
12.000,40.00,35.80
12.020,40.00,35.04
12.040,40.00,34.93
12.060,40.00,36.45
12.080,40.00,35.04
12.100,40.00,35.69
12.120,40.00,35.91
12.140,40.00,35.69
12.160,40.00,36.12
12.180,40.00,35.47
12.200,40.00,36.99
12.220,40.00,35.91
12.240,40.00,36.34
12.260,40.00,36.67
12.280,40.00,36.34
12.300,40.00,36.88
12.320,40.00,36.34
12.340,40.00,37.75
12.360,40.00,36.67
12.380,40.00,37.32
12.480,40.00,37.43
12.580,40.00,38.29
12.680,40.00,38.08
